"","ativo","base","id","Model","Mean.Hits","Var.Hits"
"225","17 - GDAXI - final","train",1,"Adaptive",0.0535529029029029,1.69208228996112e-06
"226","17 - GDAXI - final","train",2,"symmetricAbs",0.0519325825825826,1.094608414028e-05
"227","17 - GDAXI - final","train",3,"IndirectGARCH",0.349370920920921,0.000210277414062112
"228","17 - GDAXI - final","train",4,"standardGARCHmu",0.0502064564564565,8.33737790447826e-05
"229","17 - GDAXI - final","train",5,"linearGARCH",0.051862012012012,1.09241623430122e-05
"230","17 - GDAXI - final","train",6,"linearGARCHmu",0.0377656656656657,5.77684713626917e-05
"231","17 - GDAXI - final","train",7,"GJRGARCH",0.0508208208208208,6.3708569674027e-06
"232","17 - GDAXI - final","train",8,"GJRGARCHmu",0.0499525525525525,8.23978481654561e-05
"233","17 - GDAXI - final","train",9,"linearTGARCH",0.0516748748748749,1.09697899423612e-05
"234","17 - GDAXI - final","train",10,"linearTGARCHmu",0.0815758258258258,9.55543903392107e-05
"235","17 - GDAXI - final","train",11,"TCAV",0.0140157657657658,1.31081790826528e-05
"236","17 - GDAXI - final","train",12,"rangeValue",0.0502048048048048,0.000678234440215906
"237","17 - GDAXI - final","train",13,"trigGARCH",0.0666695195195195,0.000181175992951839
"238","17 - GDAXI - final","train",14,"trvGARCH",0.0511295295295295,0.000299333342787319
"239","17 - GDAXI - final","valid",1,"Adaptive",0.0522793224299065,1.49483286418398e-06
"240","17 - GDAXI - final","valid",2,"symmetricAbs",0.0486042056074766,2.39893338524461e-05
"241","17 - GDAXI - final","valid",3,"IndirectGARCH",0.301015070093458,0.000286528316764213
"242","17 - GDAXI - final","valid",4,"standardGARCHmu",0.0256906542056075,4.03048698655794e-05
"243","17 - GDAXI - final","valid",5,"linearGARCH",0.0485363317757009,2.39373246816146e-05
"244","17 - GDAXI - final","valid",6,"linearGARCHmu",0.0147129672897196,1.55626831186615e-05
"245","17 - GDAXI - final","valid",7,"GJRGARCH",0.0460779205607477,1.51975525547725e-05
"246","17 - GDAXI - final","valid",8,"GJRGARCHmu",0.0256906542056075,4.03048698655794e-05
"247","17 - GDAXI - final","valid",9,"linearTGARCH",0.0479247663551402,2.39220520757134e-05
"248","17 - GDAXI - final","valid",10,"linearTGARCHmu",0.0478544392523364,6.653980650921e-05
"249","17 - GDAXI - final","valid",11,"TCAV",0.044818691588785,2.82663378251683e-05
"250","17 - GDAXI - final","valid",12,"rangeValue",0.0240022196261682,2.86844741071325e-05
"251","17 - GDAXI - final","valid",13,"trigGARCH",0.205092990654206,6.67501390486849e-05
"252","17 - GDAXI - final","valid",14,"trvGARCH",0.081277453271028,6.4114010337551e-05
"253","18 - MDAXI final nome errado","train",1,"Adaptive",0.0401347847847848,3.67152609550789e-06
"254","18 - MDAXI final nome errado","train",2,"symmetricAbs",0.0509022522522522,1.47434305869371e-05
"255","18 - MDAXI final nome errado","train",3,"IndirectGARCH",0.0484935435435435,5.2717848469689e-05
"256","18 - MDAXI final nome errado","train",4,"standardGARCHmu",0.0498859359359359,8.49276047462807e-05
"257","18 - MDAXI final nome errado","train",5,"linearGARCH",0.0509263263263263,1.47999139337347e-05
"258","18 - MDAXI final nome errado","train",6,"linearGARCHmu",0.0472389389389389,8.08217207614304e-05
"259","18 - MDAXI final nome errado","train",7,"GJRGARCH",0.051137037037037,6.85531829417263e-06
"260","18 - MDAXI final nome errado","train",8,"GJRGARCHmu",0.0501407407407407,8.59864915575357e-05
"261","18 - MDAXI final nome errado","train",9,"linearTGARCH",0.051036986986987,1.49375317578102e-05
"262","18 - MDAXI final nome errado","train",10,"linearTGARCHmu",0.0692954454454454,0.000120129961434736
"263","18 - MDAXI final nome errado","train",11,"TCAV",0.0212658158158158,2.68814092692958e-05
"264","18 - MDAXI final nome errado","train",12,"rangeValue",0.0529112612612613,0.000208775361328672
"265","18 - MDAXI final nome errado","train",13,"trigGARCH",0.0719232232232232,0.000164220593740241
"266","18 - MDAXI final nome errado","train",14,"trvGARCH",0.0447604104104104,0.00020618069148704
"267","18 - MDAXI final nome errado","valid",1,"Adaptive",0.0437293224299065,5.36325863685708e-06
"268","18 - MDAXI final nome errado","valid",2,"symmetricAbs",0.0454892523364486,1.76357365105653e-05
"269","18 - MDAXI final nome errado","valid",3,"IndirectGARCH",0.034139953271028,3.74875907031349e-05
"270","18 - MDAXI final nome errado","valid",4,"standardGARCHmu",0.0292093457943925,4.45104548466685e-05
"271","18 - MDAXI final nome errado","valid",5,"linearGARCH",0.0454844626168224,1.76396013628221e-05
"272","18 - MDAXI final nome errado","valid",6,"linearGARCHmu",0.0263626168224299,4.42845456155603e-05
"273","18 - MDAXI final nome errado","valid",7,"GJRGARCH",0.0499231308411215,1.02348598267998e-05
"274","18 - MDAXI final nome errado","valid",8,"GJRGARCHmu",0.0292093457943925,4.45104548466685e-05
"275","18 - MDAXI final nome errado","valid",9,"linearTGARCH",0.0455320093457944,1.7608627575371e-05
"276","18 - MDAXI final nome errado","valid",10,"linearTGARCHmu",0.0410079439252336,6.81661904483264e-05
"277","18 - MDAXI final nome errado","valid",11,"TCAV",0.0625260514018692,2.81368406700599e-05
"278","18 - MDAXI final nome errado","valid",12,"rangeValue",0.154542172897196,0.000214657811123213
"279","18 - MDAXI final nome errado","valid",13,"trigGARCH",0.197648481308411,0.00011934780558992
"280","18 - MDAXI final nome errado","valid",14,"trvGARCH",0.0839655373831776,4.79464993875489e-05
"281","19 - FTAS - final","train",1,"Adaptive",0.0470676676676677,1.26841437610098e-06
"282","19 - FTAS - final","train",2,"symmetricAbs",0.0513884884884885,1.22501467651278e-05
"283","19 - FTAS - final","train",3,"IndirectGARCH",0.0559430930930931,5.32819981893756e-05
"284","19 - FTAS - final","train",4,"standardGARCHmu",0.0500681181181181,7.41788012247084e-05
"285","19 - FTAS - final","train",5,"linearGARCH",0.0514828828828829,1.21516606836093e-05
"286","19 - FTAS - final","train",6,"linearGARCHmu",0.0418066066066066,6.88847058881426e-05
"287","19 - FTAS - final","train",7,"GJRGARCH",0.0517852352352352,7.61097208224221e-06
"288","19 - FTAS - final","train",8,"GJRGARCHmu",0.0394942442442442,3.4818792541746e-05
"289","19 - FTAS - final","train",9,"linearTGARCH",0.0515361361361361,1.21901891923964e-05
"290","19 - FTAS - final","train",10,"linearTGARCHmu",0.097313963963964,0.000136291350467897
"291","19 - FTAS - final","train",11,"TCAV",0.02035005005005,2.37439513662226e-05
"292","19 - FTAS - final","train",12,"rangeValue",0.051223023023023,0.000241151455398068
"293","19 - FTAS - final","train",13,"trigGARCH",0.315653803803804,0.00372291020820584
"294","19 - FTAS - final","train",14,"trvGARCH",0.0418273273273273,0.000182500660739201
